Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
113152,06/30/2016 05:59:00 AM,Montrose,2420.0,980.0,1540.0,,2,06/30/2016 06:01:00 AM,1027,06/30/2016 11:54:00 AM,1384.0,79.0,330.7
113160,06/30/2016 10:45:00 AM,Juneway,5.0,1.0,2.2,,1,06/30/2016 10:46:00 AM,,,,,
113157,06/30/2016 10:40:00 AM,Fargo,2.0,4.0,2.8,,1,06/30/2016 10:41:00 AM,,,,,
113151,06/30/2016 05:51:00 AM,Montrose Dog,5.0,5.0,5.0,,1,06/30/2016 05:52:00 AM,,,,,
113154,06/30/2016 10:00:00 AM,Osterman,1.0,49.0,7.0,,1,06/30/2016 10:01:00 AM,,,,,
113167,07/01/2016 06:25:00 AM,Margaret T Burroughs,206.0,260.0,231.4,,2,07/01/2016 06:27:00 AM,1061,07/01/2016 11:29:00 AM,175.0,281.0,221.8
113180,07/01/2016 10:20:00 AM,Rogers,326.0,211.0,262.3,,1,07/01/2016 10:21:00 AM,,,,,
113174,07/01/2016 09:15:00 AM,Foster,40.0,32.0,35.8,,1,07/01/2016 09:16:00 AM,,,,,
113161,07/01/2016 06:30:00 AM,Calumet,2420.0,500.0,1100.0,,5,07/01/2016 06:35:00 AM,1042,07/01/2016 11:29:00 AM,416.0,884.0,606.4
113163,07/01/2016 07:05:00 AM,South Shore,248.0,194.0,219.3,,5,07/01/2016 07:10:00 AM,1045,07/01/2016 11:31:00 AM,771.0,599.0,679.6
113172,07/01/2016 05:54:00 AM,Montrose Dog,118.0,18.0,46.1,,1,07/01/2016 05:55:00 AM,,,,,
113171,07/01/2016 07:36:00 AM,North Avenue,248.0,27.0,81.8,,1,07/01/2016 07:37:00 AM,1062,07/01/2016 11:30:00 AM,28.0,29.0,28.5
113176,07/01/2016 09:45:00 AM,Hartigan,11.0,15.0,12.8,,1,07/01/2016 09:46:00 AM,,,,,
113179,07/01/2016 10:25:00 AM,Howard,243.0,178.0,208.0,,1,07/01/2016 10:26:00 AM,,,,,
113177,07/01/2016 10:00:00 AM,Leone,125.0,109.0,116.7,,1,07/01/2016 10:01:00 AM,,,,,
113165,07/01/2016 07:30:00 AM,57th Street,82.0,49.0,63.4,,5,07/01/2016 07:35:00 AM,,,,,
113175,07/01/2016 09:30:00 AM,Osterman,120.0,228.0,165.4,,1,07/01/2016 09:31:00 AM,,,,,
113170,07/01/2016 07:25:00 AM,Oak Street,22.0,2.0,6.6,,1,07/01/2016 07:26:00 AM,,,,,
113173,07/01/2016 06:02:00 AM,Montrose,579.0,1120.0,805.3,,1,07/01/2016 06:03:00 AM,1043,07/01/2016 11:30:00 AM,65.0,298.0,139.2
113164,07/01/2016 07:20:00 AM,63rd Street,326.0,243.0,281.5,,5,07/01/2016 07:25:00 AM,1064,07/01/2016 11:31:00 AM,724.0,809.0,765.3
113169,07/01/2016 07:08:00 AM,Ohio Street,82.0,93.0,87.3,,1,07/01/2016 07:09:00 AM,1044,07/01/2016 11:30:00 AM,2958.0,1595.0,2172.1
113181,07/01/2016 10:15:00 AM,Juneway,211.0,197.0,203.9,,1,07/01/2016 10:16:00 AM,,,,,
113162,07/01/2016 06:55:00 AM,Rainbow,268.0,365.0,312.8,,5,07/01/2016 07:00:00 AM,1063,07/01/2016 11:31:00 AM,508.0,388.0,444.0
113178,07/01/2016 10:10:00 AM,Fargo,115.0,127.0,120.9,,1,07/01/2016 10:11:00 AM,,,,,
113166,07/01/2016 07:45:00 AM,Oakwood,6.0,3.0,4.2,,5,07/01/2016 07:50:00 AM,,,,,
113168,07/01/2016 06:45:00 AM,12th Street,101.0,157.0,125.9,,2,07/01/2016 06:47:00 AM,1046,07/01/2016 11:32:00 AM,46.0,32.0,38.4
113191,07/05/2016 09:10:00 AM,Oak Street,5.0,4.0,4.5,,2,07/05/2016 09:12:00 AM,,,,,
113184,07/05/2016 09:55:00 AM,South Shore,26.0,23.0,24.5,,5,07/05/2016 10:00:00 AM,,,,,
113193,07/05/2016 06:35:00 AM,Montrose Dog,56.0,38.0,46.1,,1,07/05/2016 06:36:00 AM,,,,,
113183,07/05/2016 09:40:00 AM,Rainbow,78.0,62.0,69.5,,5,07/05/2016 09:45:00 AM,,,,,
113187,07/05/2016 10:30:00 AM,Oakwood,8.0,7.0,7.5,,5,07/05/2016 10:35:00 AM,,,,,
113182,07/05/2016 09:30:00 AM,Calumet,35.0,10.0,18.7,,5,07/05/2016 09:35:00 AM,,,,,
113197,07/05/2016 07:36:00 AM,Hartigan,1.0,1.0,1.0,,2,07/05/2016 07:38:00 AM,,,,,
113199,07/05/2016 07:57:00 AM,Fargo,1.0,5.0,2.2,,2,07/05/2016 07:59:00 AM,,,,,
113186,07/05/2016 10:20:00 AM,57th Street,6.0,4.0,4.9,,5,07/05/2016 10:25:00 AM,,,,,
113189,07/05/2016 11:00:00 AM,12th Street,73.0,37.0,52.0,,5,07/05/2016 11:05:00 AM,,,,,
113196,07/05/2016 07:15:00 AM,Osterman,8.0,14.0,10.6,,1,07/05/2016 07:16:00 AM,,,,,
113194,07/05/2016 06:46:00 AM,Montrose,150.0,1733.0,509.9,,4,07/05/2016 06:50:00 AM,,,,,
113188,07/05/2016 10:45:00 AM,Margaret T Burroughs,10.0,8.0,8.9,,5,07/05/2016 10:50:00 AM,,,,,
113192,07/05/2016 09:22:00 AM,North Avenue,62.0,50.0,55.7,,1,07/05/2016 09:23:00 AM,,,,,
113200,07/05/2016 08:21:00 AM,Howard,7.0,10.0,8.4,,1,07/05/2016 08:22:00 AM,,,,,
